,player_name,gp,pts,reb,ast,net_rating,season
0,Dennis Rodman,55,5.7,16.1,3.1,16.1,1996-97
1,Dwayne Schintzius,15,2.3,1.5,0.3,12.3,1996-97
2,Earl Cureton,9,0.8,1,0.4,-2.1,1996-97
3,Ed O'Bannon,64,3.7,2.3,0.6,-8.7,1996-97
4,Ed Pinckney,27,2.4,2.4,0.2,-11.2,1996-97
5,Eddie Johnson,52,8.2,2.7,1,4.1,1996-97
6,Eddie Jones,80,17.2,4.1,3.4,4.1,1996-97
7,Elden Campbell,77,14.9,8,1.6,3.3,1996-97
8,Eldridge Recasner,71,5.7,1.6,1.3,-0.3,1996-97
9,Elliot Perry,82,6.9,1.5,3,-1.2,1996-97
10,Elmer Bennett,9,2.4,0.4,1.2,-7.4,1996-97
11,Elmore Spencer,1,0,0,0,-147.5,1996-97
12,Emanual Davis,13,5,1.7,2,6.6,1996-97
13,Ennis Whatley,3,1.3,1,1,-57.4,1996-97
14,Eric Leckner,20,1.7,1.8,0.3,-3.9,1996-97
15,Eric Mobley,28,2.6,2.1,0.5,-15.4,1996-97
16,Eric Montross,78,4.4,6.6,0.8,-6.6,1996-97
17,Eric Murdock,12,3.8,0.9,2,-1.4,1996-97
18,Eric Piatkowski,65,6,1.6,0.8,2.4,1996-97
19,Eric Snow,67,3,1,2.4,-1.2,1996-97
20,Eric Williams,72,15,4.6,1.8,-6.8,1996-97
21,Erick Dampier,72,5.1,4.1,0.6,-2,1996-97
22,Erick Strickland,28,10.6,3.2,2.4,-6.4,1996-97
23,Ervin Johnson,82,7.1,11.1,0.9,-5.9,1996-97
24,Duane Ferrell,62,6.4,2.3,1.1,2.3,1996-97
25,Duane Causwell,46,2.6,2.8,0.4,-11.8,1996-97
26,Doug West,68,7.8,2.2,1.7,-3.1,1996-97
27,Doug Overton,61,3.6,1.1,1.7,-1.3,1996-97
28,Dell Demps,2,1,0,0,-53.7,1996-97
29,Dennis Scott,66,12.5,3.1,2.1,1.9,1996-97
30,Derek Fisher,80,3.9,1.2,1.5,5.1,1996-97
31,Derek Harper,75,10,1.8,4.3,-7.7,1996-97
32,Derek Strong,82,8.5,6.3,0.9,-0.7,1996-97
33,Derrick Alston,2,0,2,0,-39.9,1996-97
34,Derrick Coleman,57,18.1,10.1,3.4,-5.4,1996-97
35,Derrick McKey,50,8,4.8,2.7,-0.2,1996-97
36,Detlef Schrempf,61,16.8,6.5,4.4,12.2,1996-97
37,Devin Gray,6,3,2.3,0.3,-42.1,1996-97
38,Dexter Boney,8,2.4,0.8,0,-19.6,1996-97
39,Evric Gray,5,2.6,0.6,0.4,17.5,1996-97
40,Dickey Simpkins,48,1.9,1.9,0.6,-0.9,1996-97
41,Dino Radja,25,14,8.4,1.9,-3.3,1996-97
42,Dominique Wilkins,63,18.2,6.4,1.9,-10.3,1996-97
43,Don MacLean,37,10.9,3.8,1,-5.9,1996-97
44,Don Reid,47,2.8,2.1,0.3,-1.5,1996-97
45,Donald Royal,62,3.5,2.5,0.4,-4.6,1996-97
46,Donald Whiteside,27,2.2,0.4,1.3,-12.4,1996-97
47,Donnie Boyce,22,2.5,0.7,0.6,-10.3,1996-97
48,Donny Marshall,56,3.1,1.3,0.4,-8.7,1996-97
49,Dontonio Wingfield,47,4.5,2.9,1,1.3,1996-97
50,Donyell Marshall,61,7.3,4.5,0.9,-8.6,1996-97
51,Doug Christie,81,14.5,5.3,3.9,-2.6,1996-97
52,Dikembe Mutombo,80,13.3,11.6,1.4,8.1,1996-97
53,Dell Curry,68,14.8,3.1,1.7,1.6,1996-97
54,Felton Spencer,73,5.1,5.7,0.3,-1.2,1996-97
55,Frankie King,7,2.9,2,0.7,1.4,1996-97
56,Horacio Llamas,20,1.7,0.9,0.2,11.5,1996-97
57,Hot Rod Williams,68,8,8.3,1.5,4.3,1996-97
58,Howard Eisley,82,4.5,1,2.4,2.5,1996-97
59,Hubert Davis,36,5,1.1,0.9,-3.3,1996-97
60,Ike Austin,82,9.7,5.8,1.2,2.9,1996-97
61,Isaiah Rider,76,16.1,4,2.6,3.4,1996-97
62,Ivano Newbill,72,1.4,2.8,0.3,2.5,1996-97
63,Jack Haley,20,2,1.6,0.3,5,1996-97
64,Jalen Rose,66,7.3,1.8,2.3,1.3,1996-97
65,Jamal Mashburn,69,11.9,4.3,2.9,1.4,1996-97
66,James Robinson,69,8.3,1.6,1.8,-2.7,1996-97
67,James Scott,8,0.1,0.8,0.4,-14.7,1996-97
